id_sensor;day_time;parameter_name;value;anomaly
S0001;2026-01-01 23:00:00;temperature;20.882;False
S0011;2026-01-01 23:00:00;ventilation;0.816;False
S0010;2026-01-01 23:00:00;CO2_level;835;False
S0009;2026-01-01 23:00:00;humidity;60.727;False
S0007;2026-01-01 23:00:00;temperature;22.935;False
S0012;2026-01-01 23:00:00;ph_level;6.785;False
S0005;2026-01-01 23:00:00;ventilation;0.971;False
S0004;2026-01-01 23:00:00;CO2_level;1185;False
S0003;2026-01-01 23:00:00;humidity;68.346;False
S0006;2026-01-01 23:00:00;ph_level;6.008;False
S0004;2026-01-01 23:00:15;CO2_level;1142;False
S0007;2026-01-01 23:00:15;temperature;16.308;False
S0010;2026-01-01 23:00:15;CO2_level;863;False
S0011;2026-01-01 23:00:15;ventilation;0.704;False
S0001;2026-01-01 23:00:15;temperature;28.04;True
S0005;2026-01-01 23:00:15;ventilation;0.779;False
S0003;2026-01-01 23:00:30;humidity;64.44;False
S0004;2026-01-01 23:00:30;CO2_level;603;False
S0009;2026-01-01 23:00:30;humidity;60.958;False
S0007;2026-01-01 23:00:30;temperature;23.754;False
S0001;2026-01-01 23:00:30;temperature;26.671;False
S0011;2026-01-01 23:00:30;ventilation;0.84;False
S0005;2026-01-01 23:00:30;ventilation;0.787;False
S0010;2026-01-01 23:00:30;CO2_level;1192;False
S0001;2026-01-01 23:00:45;temperature;25.227;False
S0010;2026-01-01 23:00:45;CO2_level;956;False
S0007;2026-01-01 23:00:45;temperature;20.443;False
S0005;2026-01-01 23:00:45;ventilation;0.739;False
S0011;2026-01-01 23:00:45;ventilation;0.713;False
S0004;2026-01-01 23:00:45;CO2_level;1116;False
S0010;2026-01-01 23:01:00;CO2_level;1145;False
S0007;2026-01-01 23:01:00;temperature;24.212;False
S0011;2026-01-01 23:01:00;ventilation;0.501;False
S0001;2026-01-01 23:01:00;temperature;24.362;False
S0004;2026-01-01 23:01:00;CO2_level;673;False
S0009;2026-01-01 23:01:00;humidity;61.56;False
S0003;2026-01-01 23:01:00;humidity;69.694;False
S0005;2026-01-01 23:01:00;ventilation;0.952;False
S0001;2026-01-01 23:01:15;temperature;22.957;False
S0004;2026-01-01 23:01:15;CO2_level;1181;False
S0005;2026-01-01 23:01:15;ventilation;0.932;False
S0007;2026-01-01 23:01:15;temperature;20.245;False
S0011;2026-01-01 23:01:15;ventilation;0.872;False
S0010;2026-01-01 23:01:15;CO2_level;null;True
S0011;2026-01-01 23:01:30;ventilation;0.801;False
S0010;2026-01-01 23:01:30;CO2_level;996;False
