"id_sensor";"day_time";"parameter_name";"value";"anomaly"
"S0001";"2026-01-01 23:00:00";"temperature";"11.522";"False"
"S0009";"2026-01-01 23:00:00";"ventilation";"0.483";"False"
"S0003";"2026-01-01 23:00:00";"CO2_level";"952";"False"
"S0005";"2026-01-01 23:00:00";"ph_level";"6.292";"False"
"S0010";"2026-01-01 23:00:00";"ph_level";"6.545";"False"
"S0002";"2026-01-01 23:00:00";"humidity";"74.843";"False"
"S0006";"2026-01-01 23:00:00";"temperature";"12.831";"False"
"S0008";"2026-01-01 23:00:00";"CO2_level";"890";"False"
"S0007";"2026-01-01 23:00:00";"humidity";"73.808";"False"
"S0004";"2026-01-01 23:00:00";"ventilation";"0.418";"False"
"S0003";"2026-01-01 23:00:15";"CO2_level";"892";"False"
"S0006";"2026-01-01 23:00:15";"temperature";"12.93";"False"
"S0009";"2026-01-01 23:00:15";"ventilation";"0.341";"False"
"S0004";"2026-01-01 23:00:15";"ventilation";"0.273";"False"
"S0001";"2026-01-01 23:00:15";"temperature";"12.795";"False"
"S0008";"2026-01-01 23:00:15";"CO2_level";"1025";"False"
"S0003";"2026-01-01 23:00:30";"CO2_level";"797";"False"
"S0006";"2026-01-01 23:00:30";"temperature";"13.308";"False"
"S0009";"2026-01-01 23:00:30";"ventilation";"0.324";"False"
"S0004";"2026-01-01 23:00:30";"ventilation";"0.189";"True"
"S0007";"2026-01-01 23:00:30";"humidity";"70.241";"False"
"S0002";"2026-01-01 23:00:30";"humidity";"76.647";"True"
"S0008";"2026-01-01 23:00:30";"CO2_level";"816";"False"
"S0001";"2026-01-01 23:00:30";"temperature";"12.087";"False"
"S0008";"2026-01-01 23:00:45";"CO2_level";"1078";"False"
"S0006";"2026-01-01 23:00:45";"temperature";"14.301";"False"
"S0004";"2026-01-01 23:00:45";"ventilation";"0.314";"False"
"S0003";"2026-01-01 23:00:45";"CO2_level";"999";"False"
"S0001";"2026-01-01 23:00:45";"temperature";"14.579";"False"
"S0009";"2026-01-01 23:00:45";"ventilation";"0.371";"False"
"S0004";"2026-01-01 23:01:00";"ventilation";"0.319";"False"
"S0006";"2026-01-01 23:01:00";"temperature";"9.34";"True"
"S0009";"2026-01-01 23:01:00";"ventilation";"0.502";"False"
"S0003";"2026-01-01 23:01:00";"CO2_level";"1113";"True"
"S0008";"2026-01-01 23:01:00";"CO2_level";"1033";"False"
"S0007";"2026-01-01 23:01:00";"humidity";"70.402";"False"
"S0001";"2026-01-01 23:01:00";"temperature";"13.487";"False"
"S0002";"2026-01-01 23:01:00";"humidity";"66.941";"False"
"S0006";"2026-01-01 23:01:15";"temperature";"14.061";"False"
"S0004";"2026-01-01 23:01:15";"ventilation";"0.351";"False"
"S0009";"2026-01-01 23:01:15";"ventilation";"0.267";"False"
"S0003";"2026-01-01 23:01:15";"CO2_level";"955";"False"
"S0008";"2026-01-01 23:01:15";"CO2_level";"912";"False"
"S0001";"2026-01-01 23:01:15";"temperature";"14.601";"False"
"S0009";"2026-01-01 23:01:30";"ventilation";"0.53";"False"
"S0002";"2026-01-01 23:01:30";"humidity";"74.259";"False"
"S0003";"2026-01-01 23:01:30";"CO2_level";"947";"False"
"S0006";"2026-01-01 23:01:30";"temperature";"15.153";"False"
"S0001";"2026-01-01 23:01:30";"temperature";"15.618";"False"
"S0008";"2026-01-01 23:01:30";"CO2_level";"923";"False"
"S0004";"2026-01-01 23:01:30";"ventilation";"0.537";"False"
"S0007";"2026-01-01 23:01:30";"humidity";"67.309";"False"
"S0008";"2026-01-01 23:01:45";"CO2_level";"916";"False"
"S0001";"2026-01-01 23:01:45";"temperature";"11.656";"False"
"S0009";"2026-01-01 23:01:45";"ventilation";"0.467";"False"
"S0003";"2026-01-01 23:01:45";"CO2_level";"775";"False"
"S0004";"2026-01-01 23:01:45";"ventilation";"0.445";"False"
"S0006";"2026-01-01 23:01:45";"temperature";"19.988";"True"
"S0008";"2026-01-01 23:02:00";"CO2_level";"828";"False"
"S0001";"2026-01-01 23:02:00";"temperature";"12.428";"False"
"S0003";"2026-01-01 23:02:00";"CO2_level";"811";"False"
"S0006";"2026-01-01 23:02:00";"temperature";"12.834";"False"
"S0007";"2026-01-01 23:02:00";"humidity";"78.367";"True"
"S0004";"2026-01-01 23:02:00";"ventilation";"0.271";"False"
"S0002";"2026-01-01 23:02:00";"humidity";"70.857";"False"
"S0009";"2026-01-01 23:02:00";"ventilation";"0.523";"False"
"S0001";"2026-01-01 23:02:15";"temperature";"13.706";"False"
"S0008";"2026-01-01 23:02:15";"CO2_level";"867";"False"
"S0009";"2026-01-01 23:02:15";"ventilation";"0.537";"False"
"S0003";"2026-01-01 23:02:15";"CO2_level";"1090";"False"
"S0004";"2026-01-01 23:02:15";"ventilation";"0.562";"False"
"S0006";"2026-01-01 23:02:15";"temperature";"12.236";"False"
"S0006";"2026-01-01 23:02:30";"temperature";"10.491";"False"
"S0004";"2026-01-01 23:02:30";"ventilation";"0.496";"False"
"S0009";"2026-01-01 23:02:30";"ventilation";"0.403";"False"
"S0002";"2026-01-01 23:02:30";"humidity";"67.094";"False"
"S0003";"2026-01-01 23:02:30";"CO2_level";"928";"False"
"S0008";"2026-01-01 23:02:30";"CO2_level";"859";"False"
